series_reference,period,data_value,suppressed,status,units,magnitude,subject,groupe,series_title_1,series_title_2,series_title_3
BDCQ.SEA1OT,2016.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2016.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2016.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2017.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2017.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2017.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2017.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2018.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2018.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2018.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2018.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2019.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2019.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2019.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2019.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2020.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2020.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2020.09,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2020.12,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2021.03,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
BDCQ.SEA1OT,2021.06,,,C,Number,0,Business Data Collection - BDC,Industry by employment variable,Filled jobs,Public Administration and Safety,Trend
